City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,sao tome,0.3365,6.7273,27.12,81,100,4.03,ST,1682232795
83,hammerfest,70.6634,23.6821,-1.75,80,75,9.26,NO,1682232798
84,vorgashor,67.5833,63.95,-0.14,98,100,8.39,RU,1682232800
85,port elizabeth,-33.918,25.5701,16.84,93,40,1.03,ZA,1682232803
86,georgetown,5.4112,100.3354,32.97,62,20,4.12,MY,1682232714
87,puerto natales,-51.7236,-72.4875,5.19,93,100,3.03,CL,1682232808
88,baiyin,36.5583,104.2081,5.9,68,100,4.48,CN,1682232811
89,bredasdorp,-34.5322,20.0403,17.94,75,37,3.89,ZA,1682232814
90,st. john's,47.5649,-52.7093,3.21,98,100,10.28,CA,1682232796
91,nagqu,31.5,92.0,2.58,36,70,7.75,CN,1682232819
92,saudarkrokur,65.7461,-19.6394,0.78,68,21,0.49,IS,1682232821
93,argo,37.6333,22.7333,15.99,61,5,2.12,GR,1682232824
94,lufilufi,-13.8745,-171.5986,25.88,77,40,5.53,WS,1682232826
95,yeppoon,-23.1333,150.7333,25.88,73,100,10.27,AU,1682232829
96,aasiaat,68.7098,-52.8699,-1.06,98,100,3.54,GL,1682232831
97,haiku-pauwela,20.9219,-156.3051,23.36,78,0,4.12,US,1682232833
98,sechura,-5.5569,-80.8222,26.15,76,100,2.65,PE,1682232836
99,talnakh,69.4865,88.3972,1.23,89,97,6.64,RU,1682232838
100,keflavik,64.0049,-22.5624,4.24,100,100,4.12,IS,1682232841
101,sisimiut,66.9395,-53.6735,-0.54,96,100,4.61,GL,1682232843
102,hadibu,12.65,54.0333,29.74,59,78,0.97,YE,1682232846
103,manay,7.215,126.5397,29.36,74,63,3.79,PH,1682232849
104,ankazobe,-18.3167,47.1167,23.49,65,77,0.21,MG,1682232851
105,el nido,11.1858,119.3956,30.26,69,10,5.16,PH,1682232854
106,egersund,58.4513,5.9997,8.94,92,62,2.61,NO,1682232856
107,kiffa,16.6166,-11.4045,27.54,23,0,2.25,MR,1682232859
108,klyuchi,52.2667,79.1667,13.67,31,84,7.33,RU,1682232862
109,cabo san lucas,22.8909,-109.9124,22.61,54,53,5.74,MX,1682232801
110,kill devil hills,36.0307,-75.676,16.66,92,100,3.6,US,1682232718
111,mont-dore,-22.2833,166.5833,25.99,85,14,1.84,NC,1682232869
112,lokomotivnyy,53.0118,60.5684,11.9,50,88,7.18,RU,1682232872
113,nar'yan-mar,67.6713,53.087,-4.38,85,13,7.59,RU,1682232874
114,chernomorskoye,45.5039,32.6997,12.11,70,100,1.96,UA,1682232877
115,banda,25.4833,80.3333,37.81,10,97,2.07,IN,1682232879
116,yellowknife,62.456,-114.3525,3.29,56,20,3.6,CA,1682232655
117,udachny,66.4167,112.4,-1.51,76,100,3.3,RU,1682232884
118,broken hill,-31.95,141.4333,22.89,33,0,5.99,AU,1682232887
119,berber,18.0216,33.983,36.76,8,5,7.78,SD,1682232889
120,alice springs,-23.7,133.8833,26.75,22,87,3.6,AU,1682232892
121,taoudenni,22.6783,-3.9836,26.65,16,31,3.16,ML,1682232894
122,jaguaruna,-28.615,-49.0256,16.73,93,4,1.53,BR,1682232606
123,port douglas,-16.4833,145.4667,25.56,86,99,8.11,AU,1682232899
124,hanceville,34.0607,-86.7675,11.95,85,17,2.38,US,1682232901
125,mont-tremblant,46.1949,-74.6264,11.77,94,100,1.03,CA,1682232904
126,aykhal,66.0,111.5,-2.55,74,100,4.18,RU,1682232907
127,ancud,-41.8697,-73.8203,7.93,89,100,1.59,CL,1682232909
128,invercargill,-46.4,168.35,11.68,82,69,0.89,NZ,1682232912
129,port mathurin,-19.6833,63.4167,26.33,78,12,7.47,MU,1682232915
130,pontianak,-0.0333,109.3333,27.99,83,75,0.0,ID,1682232917
131,whitehorse,60.7161,-135.0538,4.43,60,75,2.57,CA,1682232920
132,anaconda,46.1285,-112.9423,-1.45,90,20,2.06,US,1682232923
133,shanwei,22.782,115.3475,24.05,82,99,3.48,CN,1682232925
134,malango,-2.9627,119.9001,27.52,67,100,1.87,ID,1682232928
135,merritt,50.1123,-120.7942,4.88,100,100,1.37,CA,1682232931
136,weatherford,32.7593,-97.7972,11.2,65,100,4.02,US,1682232933
137,pervomays'kyy,49.3874,36.2147,12.06,65,61,2.63,UA,1682232936
138,pagar alam,-4.0167,103.2667,26.75,79,97,1.15,ID,1682232787
139,trashigang,27.3331,91.5542,21.73,49,100,1.23,BT,1682232941
140,lockwood,45.8191,-108.4149,1.34,74,0,3.09,US,1682232944
141,puerto aysen,-45.4,-72.7,5.98,98,100,2.01,CL,1682232946
142,yeed,4.55,43.0333,25.5,73,97,1.87,SO,1682232949
143,stanley,54.868,-1.6985,6.51,92,20,1.54,GB,1682232879
144,milliken,40.3294,-104.8552,1.12,82,99,2.38,US,1682232953
145,tsaratanana,-16.7833,47.65,30.27,59,8,0.85,MG,1682232956
146,kerikeri,-35.2268,173.9474,17.17,87,96,2.31,NZ,1682232958
147,ola,59.5833,151.2833,3.97,54,100,10.63,RU,1682232961
148,pandan,14.0453,124.1694,29.41,70,77,3.98,PH,1682232963
149,gaspe,48.8334,-64.4819,0.95,100,0,1.03,CA,1682232966
150,sibu,2.3,111.8167,32.17,74,40,2.06,MY,1682232969
151,vorkuta,67.5,64.0,-0.01,98,100,8.75,RU,1682232971
152,papatowai,-46.5619,169.4708,12.57,73,10,10.81,NZ,1682232974
153,chanderi,24.7167,78.1333,35.51,10,24,1.32,IN,1682232977
154,nuuk,64.1835,-51.7216,3.34,75,100,5.66,GL,1682232686
155,lake havasu city,34.4839,-114.3224,26.0,23,6,3.09,US,1682232966
156,gaalkacyo,6.7697,47.4308,30.33,56,96,3.57,SO,1682232984
157,kingston,17.997,-76.7936,25.53,82,20,2.06,JM,1682232987
158,hotan,37.0997,79.9269,21.95,10,0,2.42,CN,1682232856
159,tralee,52.2704,-9.7026,7.52,89,95,1.89,IE,1682232992
160,tabou,4.423,-7.3528,26.68,86,100,2.77,CI,1682232995
